,bound,comp,comp_post_post,comp_post_prior,comp_prior_post,comp_prior_prior,mcallester,risk_post_post,risk_post_prior,risk_post_test,risk_prior_post,risk_prior_prior,risk_prior_test,seeger
alpha_post=30000.00000000001/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.5109476,15315.2021484375,828.35425,5.814509,16231.478,93.73584,0.5364108,0.030966667,0.038433332,0.0316,0.88423336,0.8857333,0.8875,0.4758853132685702
alpha_post=244.94897427831785/alpha_prior=15166.394348316875/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,0.6159358897266616,-1.0,135.002,8358.857,26.49629,1640.5587,1.1176653,0.56271666,0.56271666,0.5638,0.10733333,0.10733333,0.1066,0.9451433990589756
alpha_post=969.0463085136714/alpha_prior=969.0463085136714/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=lever/comp_post=risk/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,0.0003536292646992,-1.0,-1.0,-1.0,-1.0,-1.0,0.2017305,0.18843333,-1.0,0.1795,-1.0,-1.0,-1.0,0.1989788071024886
alpha_post=969.0463085136714/alpha_prior=15166.394348316875/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.5107119192389478,-1.0,197.10225,3084.817,176.87444,2768.2346,0.7062776,0.20095,0.20095,0.1909,0.18075,0.18075,0.1839,0.6908861530331711
alpha_post=2279.5070569547775/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.80718315,24202.26953125,2057.6775,27023.82,69.910286,833.78357,1.537522,0.90223336,0.90033334,0.902,0.036066666,0.0324,0.0313,0.9999901772803756
alpha_post=8269.535156745107/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.12677942,3790.157470703125,603.3037,12.971398,4474.2256,93.73584,0.32190648,0.070133336,0.07226667,0.069,0.88423336,0.8857333,0.8875,0.2663294613811611
alpha_post=15166.394348316875/alpha_prior=60000.00000000002/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,2.0180209539830694,-1.0,799.04236,3161.1033,437.8638,1732.2395,1.0540452,0.04955,0.04955,0.0453,0.033183333,0.033183333,0.0301,0.9022490479953564
alpha_post=173.20508075688775/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.00044067038,-0.0052719116210937,93.36634,93.38443,93.71248,93.73584,0.8579437,0.8431,0.84793335,0.8458,0.88423336,0.8857333,0.8875,0.8536945351071459
alpha_post=3833.6586254776325/alpha_prior=3833.6586254776325/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=lever/comp_post=risk/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,0.0012734137237036,-1.0,-1.0,-1.0,-1.0,-1.0,0.925233,0.9,-1.0,0.9,-1.0,-1.0,-1.0,0.9144592893324636
alpha_post=969.0463085136714/alpha_prior=969.0463085136714/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=lever/comp_post=risk/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,0.0003536292646992,-1.0,-1.0,-1.0,-1.0,-1.0,0.91304713,0.89975,-1.0,0.901,-1.0,-1.0,-1.0,0.9075484167821148
alpha_post=3833.6586254776325/alpha_prior=60000.00000000002/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,2.052354618906976,-1.0,302.99393,4742.1113,89.511024,1400.9232,1.0994707,0.08646667,0.08646667,0.0822,0.026116667,0.026116667,0.0275,0.922783777927876
alpha_post=30000.00000000001/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.8100579,24288.51171875,828.35425,76.52325,27098.473,2058.1313,0.66738546,0.030966667,0.038433332,0.0316,0.90283334,0.90243334,0.9018,0.6182841324219599
alpha_post=173.20508075688775/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.5014181,15029.318359375,93.36634,16174.657,6.3201766,1058.2932,1.3438087,0.8431,0.84793335,0.8458,0.0421,0.040933333,0.0396,0.9973967984372536
alpha_post=2279.5070569547775/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.007964252,225.7021484375,989.3647,75.47714,1233.3256,93.73584,0.49477077,0.43166667,0.4333,0.4276,0.88423336,0.8857333,0.8875,0.4946548186906718
alpha_post=15166.394348316875/alpha_prior=15166.394348316875/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,0.1200146,7187.30419921875,1030.4312,0.0,8217.735,0.0,0.31043053,0.065466665,-1.0,0.0621,-1.0,-1.0,-1.0,0.2521897181513083
alpha_post=3833.6586254776325/alpha_prior=3833.6586254776325/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,0.029525524,1757.95947265625,319.2642,0.0,2077.2236,0.0,0.21066877,0.08916666,-1.0,0.0821,-1.0,-1.0,-1.0,0.1741523167787707
alpha_post=628.3487915845371/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.31812054,9530.390625,216.48738,10561.391,19.270851,833.78357,0.7445903,0.34576666,0.35346666,0.3471,0.036066666,0.0324,0.0313,0.7287037651971673
alpha_post=969.0463085136714/alpha_prior=969.0463085136714/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,0.0055418652,318.93994140625,206.12657,0.0,525.0665,0.0,0.263223,0.21058333,-1.0,0.2011,-1.0,-1.0,-1.0,0.2555469600996702
alpha_post=8269.535156745107/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.035882298,1063.2435302734375,603.3037,2246.7122,253.61867,833.78357,0.2040779,0.070133336,0.07226667,0.069,0.036066666,0.0324,0.0313,0.15882260224192
alpha_post=30000.00000000001/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.007612241,215.141845703125,828.35425,1007.10254,1094.6868,1058.2932,0.092660435,0.030966667,0.038433332,0.0316,0.0421,0.040933333,0.0396,0.0572405635996876
alpha_post=173.20508075688775/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.0,-766.036376953125,93.36634,1229.0082,156.4531,2058.1313,0.8431,0.8431,0.84793335,0.8458,0.90283334,0.90243334,0.9018,0.8431000119332224
alpha_post=2279.5070569547775/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.00060343364,4.87762451171875,989.3647,993.3351,2059.0386,2058.1313,0.44903666,0.43166667,0.4333,0.4276,0.90283334,0.90243334,0.9018,0.4489235015976797
alpha_post=60000.00000000002/alpha_prior=3833.6586254776325/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,0.9574588712650564,-1.0,1416.6781,90.51767,54580.168,3487.3623,0.7182361,0.026333334,0.026333334,0.0289,0.90925,0.90925,0.9107,0.6662691334590343
alpha_post=15166.394348316875/alpha_prior=15166.394348316875/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=lever/comp_post=risk/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,0.0104988115753557,-1.0,-1.0,-1.0,-1.0,-1.0,0.25221944,0.17976667,-1.0,0.1922,-1.0,-1.0,-1.0,0.239660352856841
alpha_post=15166.394348316875/alpha_prior=15166.394348316875/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=lever/comp_post=risk/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,0.0104988115753557,-1.0,-1.0,-1.0,-1.0,-1.0,0.12200278,0.04955,-1.0,0.0453,-1.0,-1.0,-1.0,0.0873890446514216
alpha_post=60000.00000000002/alpha_prior=60000.00000000002/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=lever/comp_post=risk/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,0.1344309490700666,-1.0,-1.0,-1.0,-1.0,-1.0,0.38940948,0.13015,-1.0,0.1437,-1.0,-1.0,-1.0,0.3599317904502611
alpha_post=15166.394348316875/alpha_prior=3833.6586254776325/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,0.2832255836921957,-1.0,1007.12726,254.57481,13470.072,3404.8738,0.44041476,0.0641,0.0641,0.0658,0.8876333,0.8876333,0.8865,0.3888008640686132
alpha_post=30000.00000000001/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.1998199,5981.37109375,828.35425,21.093723,6933.5054,144.8737,0.347052,0.030966667,0.038433332,0.0316,0.23083334,0.23046666,0.2224,0.2636928203439612
alpha_post=60000.00000000002/alpha_prior=60000.00000000002/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,2.0002261992631256,-1.0,1416.6781,1416.6781,1732.2395,1732.2395,1.0263898,0.026333334,0.026333334,0.0289,0.033183333,0.033183333,0.0301,0.8865183761960866
alpha_post=628.3487915845371/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.0046104863,125.0892105102539,167.2768,46.134193,339.96765,93.73584,0.31344628,0.26543334,0.26576668,0.2647,0.88423336,0.8857333,0.8875,0.309187380312197
alpha_post=15166.394348316875/alpha_prior=15166.394348316875/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.5057726775403539,-1.0,926.49713,926.49713,2768.2346,2768.2346,0.5618614,0.058983333,0.058983333,0.0583,0.18075,0.18075,0.1839,0.5203710341108985
alpha_post=628.3487915845371/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.0,-1050.671630859375,167.2768,607.16016,567.5764,2058.1313,0.26543334,0.26543334,0.26576668,0.2647,0.90283334,0.90243334,0.9018,0.2654333433170802
alpha_post=8269.535156745107/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.16611707,4970.28662109375,617.9926,176.68515,7469.7256,2058.1313,0.3616321,0.07343333,0.076,0.0702,0.90283334,0.90243334,0.9018,0.3088488581611427
alpha_post=60000.00000000002/alpha_prior=15166.394348316875/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,0.5219657846746673,-1.0,1762.0337,445.395,3062.2903,774.06506,0.5458649,0.035,0.035,0.0353,0.04805,0.04805,0.0447,0.4894149951167932
alpha_post=3833.6586254776325/alpha_prior=3833.6586254776325/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,0.014332844,846.398681640625,1230.7234,0.0,2077.122,0.0,0.40290472,0.31825,-1.0,0.3231,-1.0,-1.0,-1.0,0.4000330598164165
alpha_post=60000.00000000002/alpha_prior=60000.00000000002/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,0.45017657,26997.021484375,5511.6953,0.0,32508.717,0.0,0.6104847,0.13605,-1.0,0.1452,-1.0,-1.0,-1.0,0.5930892050432892
alpha_post=173.20508075688775/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.0051264507,140.56813049316406,93.36634,338.77756,40.030613,144.8737,0.8937283,0.8431,0.84793335,0.8458,0.23083334,0.23046666,0.2224,0.8775337544464614
alpha_post=30000.00000000001/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.039546162,1173.1595458984375,828.35425,277.609,2337.6594,613.7547,0.17158346,0.030966667,0.038433332,0.0316,0.0765,0.07286666,0.0681,0.1054358870784455
alpha_post=2279.5070569547775/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.0,-333.5919189453125,989.3647,273.814,526.83246,144.8737,0.43166667,0.43166667,0.4333,0.4276,0.23083334,0.23046666,0.2224,0.4316666748762751
alpha_post=244.94897427831785/alpha_prior=244.94897427831785/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,0.00019687161,-1.7596588134765625,134.48242,0.0,132.72276,0.0,0.5692382,0.5593167,-1.0,0.5555,-1.0,-1.0,-1.0,0.5691515807223763
alpha_post=173.20508075688775/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.12593882,3764.93896484375,93.36634,4458.5635,13.496483,613.7547,1.094037,0.8431,0.84793335,0.8458,0.0765,0.07286666,0.0681,0.9661937014832702
alpha_post=2279.5070569547775/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.07304415,2178.09912109375,989.3647,3603.5947,177.6237,613.7547,0.6227742,0.43166667,0.4333,0.4276,0.0765,0.07286666,0.0681,0.6206999674065754
alpha_post=15166.394348316875/alpha_prior=15166.394348316875/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,0.10881407,6515.2724609375,1702.0614,0.0,8217.334,0.0,0.39810315,0.16485,-1.0,0.1781,-1.0,-1.0,-1.0,0.377471673646685
alpha_post=3833.6586254776325/alpha_prior=15166.394348316875/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,0.5110607251545121,-1.0,302.99393,1198.6788,195.66293,774.06506,0.5919668,0.08646667,0.08646667,0.0822,0.04805,0.04805,0.0447,0.5627058662951091
alpha_post=3833.6586254776325/alpha_prior=244.94897427831785/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,0.0081649658092772,-1.0,3452.0647,220.56729,2424.728,154.92633,0.9638943,0.9,0.9,0.9,0.6310833,0.6310833,0.6329,0.9339762686732492
alpha_post=8269.535156745107/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.0022276766,53.60491943359375,617.9926,640.9737,644.37854,613.7547,0.106807545,0.07343333,0.076,0.0702,0.0765,0.07286666,0.0681,0.0921127348050647
alpha_post=969.0463085136714/alpha_prior=244.94897427831785/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,0.0081649658092772,-1.0,872.3485,220.50635,612.9064,154.92633,0.9636443,0.89975,0.89975,0.901,0.6310833,0.6310833,0.6329,0.9337710639005916
alpha_post=8269.535156745107/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.04034305,1197.066162109375,617.9926,48.703472,1911.2289,144.8737,0.21545982,0.07343333,0.076,0.0702,0.23083334,0.23046666,0.2224,0.1700091909959006
alpha_post=628.3487915845371/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.00045537655,0.4359130859375,167.2768,167.36441,145.222,144.8737,0.28052267,0.26543334,0.26576668,0.2647,0.23083334,0.23046666,0.2224,0.278898880823316
alpha_post=60000.00000000002/alpha_prior=969.0463085136714/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,0.2831881925104787,-1.0,5209.478,84.13709,20495.992,331.02612,0.5064399,0.13015,0.13015,0.1437,0.34038332,0.34038332,0.3438,0.4839145852456327
alpha_post=173.20508075688775/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.0,-762.52294921875,93.58149,1231.2845,155.71178,2055.9377,0.8754,0.8754,0.87366664,0.8696,0.89853334,0.90146667,0.9,0.8754000076994299
alpha_post=244.94897427831785/alpha_prior=60000.00000000002/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,2.520366728305817,-1.0,135.002,33068.6,7.0718384,1732.2395,1.6852956,0.56271666,0.56271666,0.5638,0.033183333,0.033183333,0.0301,0.9993443823619528
alpha_post=8269.535156745107/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.0024419324,60.0325927734375,1128.7068,1118.1882,1169.7477,1099.1965,0.23184232,0.1969,0.1969,0.2033,0.1981,0.18716666,0.2052,0.2256502122514951
alpha_post=15166.394348316875/alpha_prior=15166.394348316875/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,0.5057726775403539,-1.0,1864.1124,1864.1124,1736.1161,1736.1161,0.68879473,0.18591666,0.18591666,0.1924,0.17168333,0.17168333,0.1861,0.6740899075004199
alpha_post=60000.00000000002/alpha_prior=15166.394348316875/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,0.5264309660551776,-1.0,5209.478,1316.8167,6868.275,1736.1161,0.64319533,0.13015,0.13015,0.1437,0.17168333,0.17168333,0.1861,0.6244109487106233
alpha_post=3833.6586254776325/alpha_prior=15166.394348316875/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,0.5309653447029818,-1.0,950.1771,3759.0098,438.8437,1736.1161,0.7677667,0.25251666,0.25251666,0.2647,0.17168333,0.17168333,0.1861,0.7451099350541343
alpha_post=8269.535156745107/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.1550637,4638.685546875,1166.8593,24.53232,5904.5215,123.50918,0.48257875,0.20413333,0.20396666,0.2146,0.71286666,0.7119333,0.7131,0.4716249587208097
alpha_post=60000.00000000002/alpha_prior=969.0463085136714/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,0.1589692666767766,-1.0,1416.6781,22.880445,9127.709,147.41956,0.3082635,0.026333334,0.026333334,0.0289,0.14978333,0.14978333,0.1477,0.21905500362383
alpha_post=30000.00000000001/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.22354914,6693.24853515625,3225.5442,68.82874,10059.768,209.8039,0.49632704,0.162,0.16416667,0.1751,0.3396,0.33783334,0.3487,0.4797073114196655
alpha_post=969.0463085136714/alpha_prior=60000.00000000002/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,2.2279324531555185,-1.0,316.79486,19614.842,92.514626,5728.186,1.381096,0.32565,0.32565,0.3362,0.14535,0.14535,0.1586,0.985484800883879
alpha_post=60000.00000000002/alpha_prior=60000.00000000002/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=lever/comp_post=risk/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=20,0.1344309490700666,-1.0,-1.0,-1.0,-1.0,-1.0,0.28255945,0.0233,-1.0,0.0234,-1.0,-1.0,-1.0,0.1905009070822576
alpha_post=628.3487915845371/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.04945985,1470.570068359375,167.2768,2202.6394,48.962185,613.7547,0.42269087,0.26543334,0.26576668,0.2647,0.0765,0.07286666,0.0681,0.4163707588006677
alpha_post=969.0463085136714/alpha_prior=3833.6586254776325/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,0.1600028489130762,-1.0,872.3485,3451.111,223.09045,882.5715,1.1825953,0.89975,0.89975,0.901,0.26021665,0.26021665,0.2714,0.9914993913257728
alpha_post=30000.00000000001/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.01039214,298.538818359375,3241.9553,3355.021,3015.3403,2829.8672,0.23605044,0.16396667,0.1687,0.1738,0.15256667,0.14083333,0.161,0.2217928458488326
alpha_post=969.0463085136714/alpha_prior=244.94897427831785/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,0.0126252549523031,-1.0,185.17865,46.808205,525.16296,132.74715,0.2678854,0.18843333,0.18843333,0.1795,0.9025667,0.9025667,0.9018,0.2554956622446759
alpha_post=30000.00000000001/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.64163023,19235.681640625,3241.9553,19.370222,22588.684,130.416,0.7303721,0.16396667,0.1687,0.1738,0.7519,0.7519,0.7502,0.7087747508521676
alpha_post=15166.394348316875/alpha_prior=3833.6586254776325/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=10,0.1497226272124078,-1.0,1748.4841,441.97,3491.5542,882.5715,0.4466413,0.17303333,0.17303333,0.1852,0.26021665,0.26021665,0.2714,0.4295203740654556
alpha_post=8269.535156745107/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.051088847,1519.4400634765625,1128.7068,84.963936,2772.9868,209.8039,0.35672623,0.1969,0.1969,0.2033,0.3396,0.33783334,0.3487,0.3416321294323762
alpha_post=30000.00000000001/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=fashion/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=10,0.034002364,1006.845458984375,3241.9553,924.8155,4497.7954,1173.81,0.29435524,0.16396667,0.1687,0.1738,0.20343333,0.1937,0.212,0.2743859381387689
