,bound,comp,comp_post_post,comp_post_prior,comp_prior_post,comp_prior_prior,mcallester,risk_post_post,risk_post_prior,risk_post_test,risk_prior_post,risk_prior_prior,risk_prior_test,seeger
alpha_post=2279.5070569547775/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.0006501153,6.278076171875,2052.8367,2056.0894,2055.711,2052.6855,0.9181293,0.9001,0.9015333,0.8999,0.90136665,0.90003335,0.8968,0.9105654198684512
alpha_post=244.94897427831785/alpha_prior=244.94897427831785/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=lever/comp_post=risk/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.0002113606694852,-1.0,-1.0,-1.0,-1.0,-1.0,0.47331342,0.46303332,-1.0,0.4612,-1.0,-1.0,-1.0,0.4732946131496337
alpha_post=173.20508075688775/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.5102116,15293.1220703125,93.79638,16244.336,5.8796873,863.2974,1.3438133,0.8387333,0.83956665,0.8366,0.039766666,0.0327,0.0352,0.9972293861737144
alpha_post=173.20508075688775/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.0,-755.9791259765625,93.79638,1234.3026,156.20024,2052.6855,0.8387333,0.8387333,0.83956665,0.8366,0.90136665,0.90003335,0.8968,0.8387333172701301
alpha_post=30000.00000000001/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.5086305,15245.6904296875,933.91907,5.8715663,16267.669,93.93056,0.5407301,0.03643333,0.040166665,0.0364,0.9123333,0.9124,0.9183,0.4846067019865312
alpha_post=15166.394348316875/alpha_prior=60000.00000000002/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,2.029814986512066,-1.0,926.49713,3665.329,325.93616,1289.4409,1.0664095,0.058983333,0.058983333,0.0583,0.023366667,0.023366667,0.0232,0.9082994978643176
alpha_post=60000.00000000002/alpha_prior=60000.00000000002/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=dziugaite/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,2.0002261992631256,-1.0,1560.9595,1560.9595,1289.4409,1289.4409,1.0295732,0.029516667,0.029516667,0.0296,0.023366667,0.023366667,0.0232,0.8885940325479633
alpha_post=969.0463085136714/alpha_prior=969.0463085136714/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=lever/comp_post=risk/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.0003536292646992,-1.0,-1.0,-1.0,-1.0,-1.0,0.2116805,0.19838333,-1.0,0.1922,-1.0,-1.0,-1.0,0.2091294654997391
alpha_post=15166.394348316875/alpha_prior=15166.394348316875/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=lever/comp_post=risk/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.0104988115753557,-1.0,-1.0,-1.0,-1.0,-1.0,0.13958612,0.06713333,-1.0,0.0651,-1.0,-1.0,-1.0,0.109464323263552
alpha_post=30000.00000000001/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.25072682,7508.5791015625,933.91907,21.300714,8600.57,179.37283,0.3905003,0.03643333,0.040166665,0.0364,0.28653333,0.28543332,0.283,0.3154071161823858
alpha_post=30000.00000000001/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk/comp_prior=risk/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.064031534,1907.720703125,933.91907,280.33316,3469.4915,908.18494,0.21536285,0.03643333,0.040166665,0.0364,0.115666665,0.109966666,0.1061,0.1440507399106389
