,bound,comp,comp_post_post,comp_post_prior,comp_prior_post,comp_prior_prior,mcallester,risk_post_post,risk_post_prior,risk_post_test,risk_prior_post,risk_prior_prior,risk_prior_test,seeger
alpha_post=2279.5070569547775/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,2.9640143,88907.203125,8307.746,109336.54,996.776,13118.37,2.0846438,0.86726665,0.86793333,0.8695,0.9034333,0.9041,0.9051,0.9999999990110596
alpha_post=2279.5070569547775/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.5054856,15151.341796875,8307.746,30138.742,2541.9492,9221.604,1.370002,0.86726665,0.86793333,0.8695,0.9096,0.9097,0.9108,0.9988297362880658
alpha_post=8269.535156745107/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.00044195287,0.033203125,9391.905,9391.928,9221.614,9221.604,0.89373195,0.8788667,0.8775,0.8819,0.9096,0.9097,0.9108,0.8883431783337095
alpha_post=30000.00000000001/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.48896348,14655.6787109375,13221.073,3644.4255,33453.93,9221.604,1.3582842,0.8638333,0.86593336,0.8682,0.9096,0.9097,0.9108,0.998502387564094
alpha_post=2279.5070569547775/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.00044265273,0.05419921875,8307.746,8307.779,8135.295,8135.274,0.8821437,0.86726665,0.86793333,0.8695,0.9098,0.9098,0.9108,0.8771440432030104
alpha_post=8269.535156745107/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.486265,14574.724609375,9391.905,2588.896,29513.008,8135.274,1.3719513,0.8788667,0.8775,0.8819,0.9098,0.9098,0.9108,0.9991375444476028
alpha_post=30000.00000000001/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,2.8909326,86714.75,13221.073,1004.59015,107066.51,8135.274,2.0661087,0.8638333,0.86593336,0.8682,0.9098,0.9098,0.9108,0.9999999994927397
alpha_post=8269.535156745107/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.5063604,15177.5859375,9391.905,34071.785,3616.0776,13118.37,1.3820368,0.8788667,0.8775,0.8819,0.9034333,0.9041,0.9051,0.9992700857927196
alpha_post=628.3487915845371/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.00044072402,-0.003662109375,2681.0542,2681.0356,2707.0254,2707.0105,0.8632779,0.8484333,0.8466333,0.8447,0.89636666,0.8948,0.8972,0.8588738200141435
alpha_post=173.20508075688775/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.0,-16.4541015625,739.93427,2684.2961,746.19464,2707.0105,0.84863335,0.84863335,0.8480667,0.8471,0.89636666,0.8948,0.8972,0.8486333495056877
alpha_post=628.3487915845371/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.0016558853,36.451171875,4552.9976,1255.038,4603.321,1268.91,0.87724066,0.8484667,0.8466667,0.8447,0.89636666,0.8948,0.8972,0.8683231613901627
alpha_post=30000.00000000001/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.48507094,14538.90234375,15027.389,4142.375,35098.95,9675.033,1.3607789,0.8683,0.8703667,0.8696,0.90956664,0.90966666,0.9108,0.9986834577401456
alpha_post=8269.535156745107/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.00044527318,0.1328125,9882.26,9882.358,9675.067,9675.033,0.880421,0.8655,0.8678667,0.8774,0.90956664,0.90966666,0.9108,0.8754636974055447
alpha_post=8269.535156745107/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.5052634,15144.67578125,9882.26,35850.957,4119.0415,14943.0625,1.3681247,0.8655,0.8678667,0.8774,0.90533334,0.90603334,0.9069,0.9987495574778292
alpha_post=60000.00000000002/alpha_prior=60000.00000000002/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,3.8715956,232282.15625,26203.71,0.0,258485.86,0.0,2.257496,0.86616665,-1.0,0.8704,-1.0,-1.0,-1.0,0.9999999990028638
alpha_post=3833.6586254776325/alpha_prior=3833.6586254776325/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.12680678,7594.8349609375,8920.94,0.0,16515.775,0.0,1.1118336,0.86003333,-1.0,0.8551,-1.0,-1.0,-1.0,0.9736013934751
alpha_post=2279.5070569547775/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.5031104,15080.0859375,8405.498,30493.674,2666.9436,9675.033,1.3533862,0.85183334,0.8538333,0.8562,0.90956664,0.90966666,0.9108,0.99800168016489
alpha_post=30000.00000000001/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,2.8983884,86938.421875,15027.389,1141.8506,109114.82,8290.859,2.072125,0.8683,0.8703667,0.8696,0.90323335,0.90106666,0.9043,0.9999999990187588
alpha_post=30000.00000000001/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.0004440362,0.095703125,15027.389,15027.598,14942.949,14943.0625,0.8832003,0.8683,0.8703667,0.8696,0.90533334,0.90603334,0.9069,0.8781584608851518
alpha_post=8269.535156745107/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.48806065,14628.59375,9882.26,2724.0835,30077.629,8290.859,1.3594942,0.8655,0.8678667,0.8774,0.90323335,0.90106666,0.9043,0.9985773685748978
alpha_post=2279.5070569547775/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.00044729142,0.193359375,8405.498,8405.617,8290.934,8290.859,0.86678815,0.85183334,0.8538333,0.8562,0.90323335,0.90106666,0.9043,0.8622480676493041
alpha_post=2279.5070569547775/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,2.9474742,88411.0,8405.498,110624.14,1135.4186,14943.0625,2.0658092,0.85183334,0.8538333,0.8562,0.90533334,0.90603334,0.9069,0.9999999994480362
alpha_post=15166.394348316875/alpha_prior=15166.394348316875/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.8828604,52958.0546875,12380.254,0.0,65338.31,0.0,1.5649021,0.9005,-1.0,0.9008,-1.0,-1.0,-1.0,0.9999945993907492
alpha_post=173.20508075688775/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.00044084204,-0.0001220703125,1256.6595,1256.6586,1268.9109,1268.91,0.86351323,0.84866667,0.8480667,0.8471,0.89636666,0.8948,0.8972,0.8591016718837015
alpha_post=244.94897427831785/alpha_prior=244.94897427831785/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.00042021988,11.6412353515625,1412.6323,0.0,1424.2736,0.0,0.8977785,0.8832833,-1.0,0.8793,-1.0,-1.0,-1.0,0.8923762023618198
alpha_post=969.0463085136714/alpha_prior=969.0463085136714/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.001165929,56.3837890625,5578.2065,0.0,5634.5903,0.0,0.89952797,0.8753833,-1.0,0.8701,-1.0,-1.0,-1.0,0.8907454636887544
alpha_post=628.3487915845371/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,1.5620031,46846.8671875,4552.9976,59920.773,700.6913,9221.604,1.7322097,0.8484667,0.8466667,0.8447,0.9096,0.9097,0.9108,0.99999798527968
alpha_post=628.3487915845371/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,6.666519,199982.359375,4552.9976,217378.97,274.76248,13118.37,2.6741884,0.8484667,0.8466667,0.8447,0.9034333,0.9041,0.9051,0.9999999994354944
alpha_post=969.0463085136714/alpha_prior=969.0463085136714/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.0014459095,73.1826171875,7021.2515,0.0,7094.434,0.0,0.9023545,0.87546664,-1.0,0.8701,-1.0,-1.0,-1.0,0.8924942092365464
alpha_post=8269.535156745107/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,1.5756667,47256.7734375,9391.905,713.6322,60534.684,4599.638,1.7664664,0.8788667,0.8775,0.8819,0.89636666,0.8948,0.8972,0.9999998944059064
alpha_post=628.3487915845371/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.20282292,6071.4619140625,4552.9976,16517.23,2242.5037,8135.274,1.1669184,0.8484667,0.8466667,0.8447,0.9098,0.9098,0.9108,0.9825213613211128
alpha_post=30000.00000000001/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,6.846047,205368.1875,13221.073,76.332344,219781.83,1268.91,2.713975,0.8638333,0.86593336,0.8682,0.89636666,0.8948,0.8972,0.9999999994927397
alpha_post=30000.00000000001/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,6.7358513,202062.3125,13221.073,276.91647,219606.11,4599.638,2.6990242,0.8638333,0.86593336,0.8682,0.89636666,0.8948,0.8972,0.9999999994927397
alpha_post=2279.5070569547775/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.20274484,6069.11962890625,8307.746,2290.0493,16686.455,4599.638,1.185657,0.86726665,0.86793333,0.8695,0.89636666,0.8948,0.8972,0.9876777046400064
alpha_post=173.20508075688775/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,6.77912,203360.375,1256.6595,217659.66,75.738594,13118.37,2.6897426,0.84866667,0.8480667,0.8471,0.9034333,0.9041,0.9051,0.9999999994362394
alpha_post=173.20508075688775/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,1.6575415,49713.01953125,1256.6595,59998.137,193.14636,9221.604,1.7590351,0.84866667,0.8480667,0.8471,0.9096,0.9097,0.9108,0.999998944076408
alpha_post=173.20508075688775/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.25926661,7764.7724609375,1256.6595,16538.557,618.14874,8135.274,1.2087129,0.84866667,0.8480667,0.8471,0.9098,0.9098,0.9108,0.9883938133002984
alpha_post=2279.5070569547775/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.25892103,7754.4052734375,8307.746,631.25476,16699.807,1268.91,1.2270728,0.86726665,0.86793333,0.8695,0.89636666,0.8948,0.8972,0.992165286138068
alpha_post=2279.5070569547775/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.117498785,3511.73828125,8405.498,2317.0183,13253.572,3653.3542,1.0942161,0.85183334,0.8538333,0.8562,0.89636666,0.8948,0.8972,0.9678174145809636
alpha_post=8269.535156745107/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,1.6710745,50119.0078125,9391.905,196.71353,60583.11,1268.91,1.792944,0.8788667,0.8775,0.8819,0.89636666,0.8948,0.8972,0.9999999521667782
alpha_post=8269.535156745107/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,1.1769822,35296.23828125,9882.26,750.89685,48080.957,3653.3542,1.6326318,0.8655,0.8678667,0.8774,0.89636666,0.8948,0.8972,0.9999915928544548
alpha_post=628.3487915845371/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,5.1486287,154445.640625,3617.054,172692.77,312.97946,14943.0625,2.4529004,0.8484333,0.8466667,0.8447,0.90533334,0.90603334,0.9069,0.99999999943537
alpha_post=628.3487915845371/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,1.1686416,35046.01953125,3617.054,47602.96,735.1462,9675.033,1.6128421,0.8484333,0.8466667,0.8447,0.90956664,0.90966666,0.9108,0.9999729288195216
alpha_post=628.3487915845371/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.1170843,3499.3037109375,3617.054,13121.812,2285.4055,8290.859,1.0903882,0.8484333,0.8466667,0.8447,0.90323335,0.90106666,0.9043,0.966179881911347
alpha_post=30000.00000000001/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,5.202468,156060.8125,15027.389,314.75244,174426.81,3653.3542,2.4811342,0.8683,0.8703667,0.8696,0.89636666,0.8948,0.8972,0.9999999990187588
alpha_post=2279.5070569547775/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.04164171,1236.02587890625,8490.282,645.1342,9827.931,746.75684,1.0243944,0.8801,0.88126665,0.8805,0.89636666,0.8948,0.8972,0.9526239952709474
alpha_post=173.20508075688775/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,5.2356353,157055.84375,998.3047,172910.94,86.273155,14943.0625,2.4666338,0.84866667,0.8480667,0.8471,0.90533334,0.90603334,0.9069,0.9999999994362394
alpha_post=173.20508075688775/alpha_prior=8269.535156745107/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,1.2401878,37192.40625,998.3047,47663.1,202.64389,9675.033,1.636127,0.84866667,0.8480667,0.8471,0.90956664,0.90966666,0.9108,0.9999833560959904
alpha_post=30000.00000000001/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,5.287615,158615.21875,15027.389,86.76188,174563.69,1007.84125,2.494279,0.8683,0.8703667,0.8696,0.89636666,0.8948,0.8972,0.9999999990187588
alpha_post=173.20508075688775/alpha_prior=2279.5070569547775/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.14974757,4479.201171875,998.3047,13138.391,629.97473,8290.859,1.1222974,0.84866667,0.8480667,0.8471,0.90323335,0.90106666,0.9043,0.9740182225900468
alpha_post=8269.535156745107/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,1.2482934,37435.57421875,9882.26,206.9856,48118.688,1007.84125,1.6555295,0.8655,0.8678667,0.8774,0.89636666,0.8948,0.8972,0.9999950531171128
alpha_post=2279.5070569547775/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.1500849,4489.3212890625,8405.498,638.6887,13263.972,1007.84125,1.1257721,0.85183334,0.8538333,0.8562,0.89636666,0.8948,0.8972,0.975287988610944
