,bound,comp,comp_post_post,comp_post_prior,comp_prior_post,comp_prior_prior,mcallester,risk_post_post,risk_post_prior,risk_post_test,risk_prior_post,risk_prior_prior,risk_prior_test,seeger
alpha_post=60000.00000000002/alpha_prior=60000.00000000002/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,7.016222,420959.75,18303.07,0.0,439262.8,0.0,2.7578452,0.88485,-1.0,0.8859,-1.0,-1.0,-1.0,0.9999999991420658
alpha_post=15166.394348316875/alpha_prior=15166.394348316875/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,1.6780853,100671.546875,10362.339,0.0,111033.88,0.0,1.7839761,0.86798334,-1.0,0.8709,-1.0,-1.0,-1.0,0.9999998436074796
alpha_post=60000.00000000002/alpha_prior=60000.00000000002/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,5.450187,326997.65625,21876.684,0.0,348874.34,0.0,2.526019,0.87523335,-1.0,0.878,-1.0,-1.0,-1.0,0.999999999070416
alpha_post=30000.00000000001/alpha_prior=30000.00000000001/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.0004414646,0.0185546875,13221.073,13221.151,13118.311,13118.37,0.87869036,0.8638333,0.86593336,0.8682,0.9034333,0.9041,0.9051,0.8738090101686984
alpha_post=30000.00000000001/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,3.657217,109703.28125,17194.564,360.14685,129244.71,2707.0105,2.2351604,0.8829,0.88556665,0.8837,0.89636666,0.8948,0.8972,0.999999999127537
alpha_post=3833.6586254776325/alpha_prior=3833.6586254776325/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.2277953,13654.1455078125,8636.94,0.0,22291.086,0.0,1.2381539,0.90066665,-1.0,0.9012,-1.0,-1.0,-1.0,0.9959721481824544
alpha_post=15166.394348316875/alpha_prior=15166.394348316875/batch_size=64/beta_post=0.30000000000000004/beta_prior=0.30000000000000004/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,1.2820547,76909.7109375,11276.386,0.0,88186.09,0.0,1.6837919,0.88315,-1.0,0.8861,-1.0,-1.0,-1.0,0.999999215588967
alpha_post=3833.6586254776325/alpha_prior=3833.6586254776325/batch_size=64/beta_post=0.1/beta_prior=0.1/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.0/seed=0,0.3282704,19682.65234375,8383.743,0.0,28066.395,0.0,1.306036,0.9009,-1.0,0.9017,-1.0,-1.0,-1.0,0.9985840990854068
alpha_post=8269.535156745107/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.775507,23251.984375,10462.453,794.99664,35626.453,2707.0105,1.4718986,0.8492,0.85143334,0.8552,0.89636666,0.8948,0.8972,0.9996483717726424
alpha_post=2279.5070569547775/alpha_prior=628.3487915845371/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.032559548,963.56103515625,8490.312,2340.4087,9820.475,2707.0105,1.0071923,0.8796,0.8810667,0.8804,0.89636666,0.8948,0.8972,0.9460243837004096
alpha_post=30000.00000000001/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,3.7171345,111500.8046875,17194.564,99.274895,129342.85,746.75684,2.246193,0.8829,0.88556665,0.8837,0.89636666,0.8948,0.8972,0.999999999127537
alpha_post=8269.535156745107/alpha_prior=173.20508075688775/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=risk_dist_l2/comp_prior=risk_dist_l2/data=mnist/decay=0.5/delta=0.05/epoch=10/prior=0.5/seed=0,0.8225553,24663.43359375,10462.453,219.14175,35653.504,746.75684,1.4905093,0.8492,0.85143334,0.8552,0.89636666,0.8948,0.8972,0.9997427486371864
