,bound,comp,comp_post_post,comp_post_prior,comp_prior_post,comp_prior_prior,comp_sgd_post,comp_sgd_prior,mcallester,risk_post_post,risk_post_prior,risk_post_test,risk_prior_post,risk_prior_prior,risk_prior_test,risk_sgd_post,risk_sgd_prior,risk_sgd_test,seeger
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_64_3_001.h5/prior=0.0/seed=0,0.0,-10099571712.0,10099573000.0,0.0,962.207,0.0,258570750000.0,0.0,0.9030167,0.9030167,-1,0.9019,-1,-1,-1,0.14161667,-1,0.1528,0.9030166871620962
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_64_5_0001.h5/prior=0.0/seed=0,0.19422598,11639.986328125,23.02539,0.0,11663.012,0.0,0.0,0.0,0.34631288,0.03468333,-1,0.0334,-1,-1,-1,0.035766665,-1,0.0345,0.2663698851305309
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_64_5_001.h5/prior=0.0/seed=0,0.0,-220358.0625,220464.97,0.0,106.911,0.0,5813312000000.0,0.0,0.85873336,0.85873336,-1,0.8613,-1,-1,-1,0.14161667,-1,0.1528,0.8587333586302892
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_128_1_0001.h5/prior=0.0/seed=0,1.4029986,84166.34375,18.523438,0.0,84184.87,0.0,0.0,0.0,0.9792222,0.14166667,-1,0.1527,-1,-1,-1,0.14161667,-1,0.1528,0.8760698910610034
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_64_3_0001.h5/prior=0.0/seed=0,0.4242536,25441.64453125,51.164062,0.0,25492.809,0.0,0.0,0.0,0.60228896,0.14171667,-1,0.1532,-1,-1,-1,0.14161667,-1,0.1528,0.5858207668528783
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_128_1_001.h5/prior=0.0/seed=0,0.0,-1402088064.0,1402093300.0,0.0,5304.414,0.0,42953556000.0,0.0,0.9016167,0.9016167,-1,0.9045,-1,-1,-1,0.035766665,-1,0.0345,0.901616694742068
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_256_3_0001.h5/prior=0.0/seed=0,0.1150793,6891.18603515625,0.45496234,0.0,6891.641,0.0,301692.6,0.0,0.47705758,0.23718333,-1,0.2419,-1,-1,-1,0.1444,-1,0.1535,0.4694818251073176
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=param_norm/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=10,31.744774,1904672.75,3986.0269,0.0,1908658.8,0.0,13359855.0,0.0,4.8847165,0.9007,-1,0.8968,-1,-1,-1,0.022783333,-1,0.0238,0.9999999992601571
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_128_3_001.h5/prior=0.0/seed=0,10.903946,654223.1875,144.5625,0.0,654367.75,0.0,0.0,0.0,2.4766126,0.14166667,-1,0.1527,-1,-1,-1,0.14161667,-1,0.1528,0.9999981094539764
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_fro/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=10,64.519875,3871179.0,3986.0264,0.0,3875165.0,0.0,15295797.0,0.0,6.6,0.9202167,-1,0.9274,-1,-1,-1,0.022783333,-1,0.0238,0.999999999405568
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_dist_l2/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=10,7.2329707,433964.6875,144.4375,0.0,434109.12,0.0,0.0,0.0,1.9364558,0.03475,-1,0.0353,-1,-1,-1,0.019133333,-1,0.0212,0.9995237952867156
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_256_3_001.h5/prior=0.0/seed=0,61.049694,3662968.0,21.75,0.0,3662989.8,0.0,0.0,0.0,5.560713,0.03578333,-1,0.0344,-1,-1,-1,0.035766665,-1,0.0345,0.9999999991020032
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_128_5_001.h5/prior=0.0/seed=0,0.0,-323071934464.0,323071930000.0,0.0,142.54013,0.0,13798421000000.0,0.0,0.9038333,0.9038333,-1,0.9117,-1,-1,-1,0.035766665,-1,0.0345,0.9038333318270744
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_256_3_0001.h5/prior=0.0/seed=0,4.9113603,294668.0625,132.875,0.0,294800.94,0.0,0.0,0.0,1.711311,0.14425,-1,0.1539,-1,-1,-1,0.1444,-1,0.1535,0.998012874804365
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_sum_fro/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=10,18.140558,1088419.875,85.625,0.0,1088505.5,0.0,0.0,0.0,3.030857,0.019166667,-1,0.0219,-1,-1,-1,0.019133333,-1,0.0212,0.99999999177875
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_128_5_0001.h5/prior=0.0/seed=0,1.5356026,92122.5859375,2.2922702,0.0,92124.875,0.0,344413.9,0.0,1.2440593,0.36781666,-1,0.3745,-1,-1,-1,0.14161667,-1,0.1528,0.9682793129075844
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_dist_fro/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=10,168.63737,10118228.0,94.0,0.0,10118322.0,0.0,0.0,0.0,9.201688,0.019166667,-1,0.0219,-1,-1,-1,0.019133333,-1,0.0212,0.9999999990865278
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_l2/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=10,7.757695,465448.15625,16744.592,0.0,482192.75,0.0,916301.9,0.0,2.899729,0.93025,-1,0.9378,-1,-1,-1,0.019133333,-1,0.0212,0.999999999480322
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_128_3_001.h5/prior=0.0/seed=0,214664.33,12879859712.0,53.25,0.0,12879860000.0,0.0,0.0,0.0,327.65167,0.03578333,-1,0.0345,-1,-1,-1,0.035766665,-1,0.0345,0.9999999991020032
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_64_3_001.h5/prior=0.0/seed=0,0.00022619926,0.0,258570750000.0,0.0,258570750000.0,0.0,0.0,0.0,0.9106348,0.9,-1,0.9,-1,-1,-1,0.14161667,-1,0.1528,0.9062601052248782
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=sum_fro/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=10,2.7426538,164545.65625,18370.775,0.0,182916.44,0.0,1271421.9,0.0,2.0806868,0.90965,-1,0.9108,-1,-1,-1,0.019133333,-1,0.0212,0.9999999993268402
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_param_norm/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=10,170.95097,10257044.0,105.0,0.0,10257149.0,0.0,0.0,0.0,9.264462,0.019166667,-1,0.0219,-1,-1,-1,0.019133333,-1,0.0212,0.9999999990865278
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=path_norm/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=10,1.6484709,98894.6796875,147.9324,0.0,99042.61,0.0,324536900.0,0.0,1.727174,0.8193,-1,0.8163,-1,-1,-1,0.019133333,-1,0.0212,0.99999200891797
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_128_1_001.h5/prior=0.0/seed=0,65490.67,3929440256.0,39024110000.0,0.0,42953550000.0,0.0,0.0,0.0,181.85915,0.90241665,-1,0.9032,-1,-1,-1,0.035766665,-1,0.0345,0.9999999992729474
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_128_5_001.h5/prior=0.0/seed=0,0.00022619926,0.0,13798421000000.0,0.0,13798421000000.0,0.0,0.0,0.0,0.93996817,0.9293333,-1,0.9315,-1,-1,-1,0.035766665,-1,0.0345,0.9346547375254436
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_256_3_001.h5/prior=0.0/seed=0,0.08648055,5175.26123046875,0.09492021,0.0,5175.356,0.0,47808.266,0.0,0.36420962,0.15626666,-1,0.1666,-1,-1,-1,0.14161667,-1,0.1528,0.3409037343294443
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_256_1_0001.h5/prior=0.0/seed=0,0.00021260892,-0.8154202699661255,1.9111246,0.0,1.0957043,0.0,92.913,0.0,0.15219374,0.14188333,-1,0.1517,-1,-1,-1,0.14161667,-1,0.1528,0.1491796534771005
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_256_5_001.h5/prior=0.0/seed=0,0.038287524,2283.679443359375,0.31269458,0.0,2283.9922,0.0,1469334.9,0.0,0.31542766,0.17706667,-1,0.1849,-1,-1,-1,0.14161667,-1,0.1528,0.2974179111638838
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_l2/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=10,7.757695,465448.15625,16744.592,0.0,482192.75,0.0,965446.56,0.0,2.8659623,0.89648336,-1,0.8942,-1,-1,-1,0.13088334,-1,0.1393,0.9999999992287408
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_256_1_001.h5/prior=0.0/seed=0,61659680.0,3699580862464.0,0.00559121,0.0,3699580900000.0,0.0,223.155,0.0,5552.603,0.14085,-1,0.151,-1,-1,-1,0.14161667,-1,0.1528,0.9999999991998544
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_256_1_0001.h5/prior=0.0/seed=0,0.0013618141,68.13689422607422,23.680405,0.0,91.8173,0.0,0.0,0.0,0.16796087,0.14186667,-1,0.1518,-1,-1,-1,0.14161667,-1,0.1528,0.1607189745268213
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_256_5_0001.h5/prior=0.0/seed=0,0.14020538,8398.7509765625,0.5803166,0.0,8399.331,0.0,789.7855,0.0,0.40655246,0.14178333,-1,0.152,-1,-1,-1,0.14161667,-1,0.1528,0.3809355830131928
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_128_5_001.h5/prior=0.0/seed=0,3.2418659,194498.375,2.03125,0.0,194500.4,0.0,0.0,0.0,1.4148754,0.14171667,-1,0.1532,-1,-1,-1,0.14161667,-1,0.1528,0.9857389865888
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_path_norm/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=10,5407.294,324437632.0,224.0,0.0,324437860.0,0.0,0.0,0.0,52.01574,0.019133333,-1,0.0212,-1,-1,-1,0.019133333,-1,0.0212,0.9999999990864968
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_256_1_001.h5/prior=0.0/seed=0,61659680.0,3699580862464.0,50.29117,0.0,3699580900000.0,0.0,0.0,0.0,5552.603,0.14083333,-1,0.1509,-1,-1,-1,0.14161667,-1,0.1528,0.9999999991998388
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_256_3_001.h5/prior=0.0/seed=0,0.71019673,42598.234375,34.67578,0.0,42632.91,0.0,0.0,0.0,0.7367513,0.14085,-1,0.1509,-1,-1,-1,0.14161667,-1,0.1528,0.7117813388577678
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_256_5_0001.h5/prior=0.0/seed=0,0.12622046,7559.65625,49.889343,0.0,7609.5454,0.0,0.0,0.0,0.39301753,0.1418,-1,0.1521,-1,-1,-1,0.14161667,-1,0.1528,0.3668522525483706
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_128_5_0001.h5/prior=0.0/seed=0,4.2034717,252194.71875,94.3125,0.0,252289.03,0.0,0.0,0.0,1.5914365,0.1417,-1,0.1533,-1,-1,-1,0.14161667,-1,0.1528,0.9953555028959238
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_64_3_0001.h5/prior=0.0/seed=10,0.57990724,34780.86328125,0.06712533,0.0,34780.93,0.0,106221.63,0.0,0.71172345,0.17325,-1,0.1616,-1,-1,-1,0.019133333,-1,0.0212,0.6934331528051585
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_128_1_001.h5/prior=0.0/seed=10,0.07524644,4501.21435546875,0.9022105,0.0,4502.1167,0.0,219.45755,0.0,0.35216707,0.1582,-1,0.149,-1,-1,-1,0.019133333,-1,0.0212,0.3292355409572303
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=path_norm/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=10,1.6463383,98766.7265625,275.88596,0.0,99042.61,0.0,789425150.0,0.0,1.79352,0.8862333,-1,0.8854,-1,-1,-1,0.13088334,-1,0.1393,0.9999999771140508
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_path_norm/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=10,13155.433,789325952.0,128.0,0.0,789326100.0,0.0,0.0,0.0,81.234,0.13088334,-1,0.1393,-1,-1,-1,0.13088334,-1,0.1393,0.999999999190572
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_dist_l2/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=10,8.299832,497976.375,90.9375,0.0,498067.3,0.0,0.0,0.0,2.2056844,0.16855,-1,0.1805,-1,-1,-1,0.12615,-1,0.1335,0.9999732207177544
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_256_1_0001.h5/prior=0.0/seed=10,0.123139575,7374.802734375,92.02051,0.0,7466.823,0.0,0.0,0.0,0.27396592,0.025833333,-1,0.0254,-1,-1,-1,0.022783333,-1,0.0238,0.185200428876556
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_dist_fro/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=10,202.33257,12139940.0,57.0,0.0,12139997.0,0.0,0.0,0.0,10.184746,0.1266,-1,0.1346,-1,-1,-1,0.12615,-1,0.1335,0.9999999991865828
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_128_5_001.h5/prior=0.0/seed=10,0.0,-12159212.0,12163569.0,0.0,4357.004,0.0,574031000.0,0.0,0.48826668,0.48826668,-1,0.4736,-1,-1,-1,0.022783333,-1,0.0238,0.4882666795238852
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_256_3_0001.h5/prior=0.0/seed=10,0.06415538,3835.750732421875,8.645508,0.0,3844.3962,0.0,0.0,0.0,0.20045245,0.02135,-1,0.0237,-1,-1,-1,0.019133333,-1,0.0212,0.1168069217655637
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_sum_fro/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=10,86.491936,5189502.5,170.5,0.0,5189673.0,0.0,0.0,0.0,6.7081666,0.132,-1,0.1395,-1,-1,-1,0.13151667,-1,0.1388,0.999999999191612
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_256_3_0001.h5/prior=0.0/seed=10,0.037505217,2236.740966796875,0.017502602,0.0,2236.7585,0.0,6081.155,0.0,0.29262352,0.15568334,-1,0.1468,-1,-1,-1,0.019133333,-1,0.0212,0.2706715709724236
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_256_5_001.h5/prior=0.0/seed=0,24.449903,1466980.625,70.25,0.0,1467050.9,0.0,0.0,0.0,3.6381032,0.14168334,-1,0.1527,-1,-1,-1,0.14161667,-1,0.1528,0.9999999992006304
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_fro/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=10,64.519875,3871179.0,3986.0264,0.0,3875165.0,0.0,15765086.0,0.0,6.569617,0.88983333,-1,0.8875,-1,-1,-1,0.13151667,-1,0.1388,0.9999999991791944
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_128_5_001.h5/prior=0.0/seed=10,0.014757059,871.8515625,26.002441,0.0,897.854,0.0,0.0,0.0,0.10551503,0.019616667,-1,0.0222,-1,-1,-1,0.019133333,-1,0.0212,0.0534339062529221
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=sum_fro/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=10,2.431488,145875.703125,37040.74,0.0,182916.44,0.0,5626433.5,0.0,1.3494079,0.2468,-1,0.2521,-1,-1,-1,0.12615,-1,0.1335,0.981009543710913
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_64_1_0001.h5/prior=0.0/seed=10,0.47493473,28482.51171875,8.659673e-05,0.0,28482.512,0.0,45199.465,0.0,0.64440626,0.1571,-1,0.147,-1,-1,-1,0.019133333,-1,0.0212,0.6295675555649249
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=param_norm/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=10,31.744774,1904672.75,3986.0269,0.0,1908658.8,0.0,14224121.0,0.0,4.8840165,0.9,-1,0.9,-1,-1,-1,0.12615,-1,0.1335,0.9999999992549418
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_128_1_001.h5/prior=0.0/seed=10,0.07131869,4265.5498046875,17.109528,0.0,4282.659,0.0,0.0,0.0,0.33828682,0.14945,-1,0.1421,-1,-1,-1,0.019133333,-1,0.0212,0.3132158993592511
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_128_3_0001.h5/prior=0.0/seed=10,0.23499557,14086.162109375,0.07749545,0.0,14086.239,0.0,32644.39,0.0,0.4964295,0.15365,-1,0.1445,-1,-1,-1,0.019133333,-1,0.0212,0.4782817714922502
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_param_norm/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=10,205.2565,12315376.0,86.0,0.0,12315462.0,0.0,0.0,0.0,10.257143,0.12658334,-1,0.1346,-1,-1,-1,0.12615,-1,0.1335,0.9999999991865672
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_128_1_0001.h5/prior=0.0/seed=10,0.22653233,13578.3671875,0.090408385,0.0,13578.458,0.0,1533.6868,0.0,0.49565038,0.1591,-1,0.1499,-1,-1,-1,0.019133333,-1,0.0212,0.4784763543868111
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_64_5_0001.h5/prior=0.0/seed=10,0.016613325,983.2275390625,216.17139,0.0,1199.3989,0.0,0.0,0.0,0.112590894,0.02145,-1,0.0235,-1,-1,-1,0.019133333,-1,0.0212,0.05904031994305
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_64_5_0001.h5/prior=0.0/seed=10,0.068233185,4080.419189453125,0.00018239976,0.0,4080.4194,0.0,5279.8184,0.0,0.21892345,0.03421667,-1,0.0353,-1,-1,-1,0.019133333,-1,0.0212,0.1449704699292538
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_64_1_001.h5/prior=0.0/seed=10,0.0014780724,75.11238861083984,1.9788951,0.0,77.091286,0.0,363820800.0,0.0,0.9157352,0.88855,-1,0.887,-1,-1,-1,0.019133333,-1,0.0212,0.90489076060783
