,bound,comp,comp_post_post,comp_post_prior,comp_prior_post,comp_prior_prior,comp_sgd_post,comp_sgd_prior,mcallester,risk_post_post,risk_post_prior,risk_post_test,risk_prior_post,risk_prior_prior,risk_prior_test,risk_sgd_post,risk_sgd_prior,risk_sgd_test,seeger
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_dist_fro/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=0,155.9751,9358492.0,143.0,0.0,9358635.0,0.0,0.0,0.0,8.866722,0.035666667,-1,0.0345,-1,-1,-1,0.035766665,-1,0.0345,0.9999999991018946
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_param_norm/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=0,174.64478,10478672.0,22.0,0.0,10478694.0,0.0,0.0,0.0,9.486311,0.14166667,-1,0.1533,-1,-1,-1,0.14161667,-1,0.1528,0.9999999992006148
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_sum_fro/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=0,50.924267,3055442.5,50.25,0.0,3055492.8,0.0,0.0,0.0,5.187669,0.14166667,-1,0.1533,-1,-1,-1,0.14161667,-1,0.1528,0.9999999992006148
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_param_norm/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=0,157.44218,9446517.0,88.0,0.0,9446605.0,0.0,0.0,0.0,8.908157,0.035666667,-1,0.0345,-1,-1,-1,0.035766665,-1,0.0345,0.9999999991018946
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_sum_fro/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=0,17.203392,1032189.9375,10.625,0.0,1032200.56,0.0,0.0,0.0,2.968515,0.03565,-1,0.0345,-1,-1,-1,0.035766665,-1,0.0345,0.9999999847319444
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_dist_fro/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=0,169.94505,10196689.0,82.0,0.0,10196771.0,0.0,0.0,0.0,9.359721,0.14166667,-1,0.1533,-1,-1,-1,0.14161667,-1,0.1528,0.9999999992006148
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_path_norm/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=0,4050.311,243018640.0,96.0,0.0,243018740.0,0.0,0.0,0.0,45.03751,0.03578333,-1,0.0345,-1,-1,-1,0.035766665,-1,0.0345,0.9999999991020032
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_fashion_128_1_0001.h5/prior=0.0/seed=0,0.01799285,1065.9991455078125,2.3071773,0.0,1068.3063,0.0,85253.2,0.0,0.23688284,0.14203334,-1,0.1523,-1,-1,-1,0.14161667,-1,0.1528,0.2164216177068478
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=neural/comp_prior=none/data=mnist/decay=0.5/delta=0.05/epoch=10/neural_path=model_neural_comp_mnist_64_3_0001.h5/prior=0.0/seed=0,0.71507293,42890.8046875,0.008697077,0.0,42890.812,0.0,56280.52,0.0,0.6434269,0.045483332,-1,0.0433,-1,-1,-1,0.035766665,-1,0.0345,0.6009592519288072
alpha_post=60000.0/alpha_prior=60000.0/batch_size=64/beta_post=0.5/beta_prior=0.5/bound=comp/comp_post=dist_path_norm/comp_prior=none/data=fashion/decay=0.5/delta=0.05/epoch=10/neural_path=None/prior=0.0/seed=0,8588.909,515334528.0,64.0,0.0,515334600.0,0.0,0.0,0.0,65.673706,0.14161667,-1,0.1528,-1,-1,-1,0.14161667,-1,0.1528,0.9999999992005684
